Configuration_ID,Has_Match,mc_config,opt_config
0,True,"{'PRGS': 5.0, 'ORCH_1_Dstop': 5.021857244201767, 'ORCH_1_Drestart': 3.997246925750302, 'ORCH_1_Fstop': 0.7647390313087443, 'ORCH_1_Frestart': 0.2773026529867751, 'PSCS__TAU': 462.0, 'HUM_1_VEL': 66.63363431901885, 'HUM_2_VEL': 89.87224806863074, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2594.32, 'HUM_1_POS_Y': 190.47, 'HUM_2_POS_X': 2839.13, 'HUM_2_POS_Y': 209.03, 'ROB_1_VEL': 55.1606448647523, 'ROB_1_CHG': 11.94019989, 'SCS': 0.9813983125, 'FTG': 0.01089725}","{'PRGS': 5, 'ORCH_1_Dstop': 5.97, 'ORCH_1_Drestart': 3.44, 'ORCH_1_Fstop': 0.76, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 462, 'HUM_1_VEL': 74.0, 'HUM_2_VEL': 63.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2594.32, 'HUM_1_POS_Y': 190.47, 'HUM_2_POS_X': 2839.13, 'HUM_2_POS_Y': 209.03, 'ROB_1_VEL': 79.0, 'ROB_1_CHG': 11.94019989, 'SCS': 1, 'FTG': 0.0}"
1,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 6.42, 'ORCH_1_Drestart': 3.7, 'ORCH_1_Fstop': 0.53, 'ORCH_1_Frestart': 0.38, 'PSCS__TAU': 583, 'HUM_1_VEL': 83.0, 'HUM_2_VEL': 32.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 83.0, 'ROB_1_CHG': 11.10892004, 'SCS': 0, 'FTG': 0.0}"
2,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.17, 'ORCH_1_Drestart': 3.62, 'ORCH_1_Fstop': 0.71, 'ORCH_1_Frestart': 0.16, 'PSCS__TAU': 110, 'HUM_1_VEL': 69.0, 'HUM_2_VEL': 60.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 345.53, 'HUM_1_POS_Y': 169.44, 'HUM_2_POS_X': 1596.1, 'HUM_2_POS_Y': 315.44, 'ROB_1_VEL': 33.0, 'ROB_1_CHG': 12.1588767, 'SCS': 0, 'FTG': 0.0}"
3,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 165, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.66748416, 'SCS': 0, 'FTG': 0.0}"
4,True,"{'PRGS': 5.0, 'ORCH_1_Dstop': 6.046660384070019, 'ORCH_1_Drestart': 2.191513631446089, 'ORCH_1_Fstop': 0.6607313381254293, 'ORCH_1_Frestart': 0.319870252406957, 'PSCS__TAU': 170.0, 'HUM_1_VEL': 80.2485475095616, 'HUM_2_VEL': 58.06726365291884, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2700.97, 'HUM_1_POS_Y': 187.68, 'HUM_2_POS_X': 2876.2, 'HUM_2_POS_Y': 198.24, 'ROB_1_VEL': 78.60801104094216, 'ROB_1_CHG': 12.19910432, 'SCS': 1.0, 'FTG': 0.0}","{'PRGS': 5, 'ORCH_1_Dstop': 6.87, 'ORCH_1_Drestart': 3.35, 'ORCH_1_Fstop': 0.59, 'ORCH_1_Frestart': 0.3, 'PSCS__TAU': 170, 'HUM_1_VEL': 59.0, 'HUM_2_VEL': 59.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2700.97, 'HUM_1_POS_Y': 187.68, 'HUM_2_POS_X': 2876.2, 'HUM_2_POS_Y': 198.24, 'ROB_1_VEL': 76.0, 'ROB_1_CHG': 12.19910432, 'SCS': 1, 'FTG': 0.0}"
5,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.41, 'ORCH_1_Drestart': 3.84, 'ORCH_1_Fstop': 0.78, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 518, 'HUM_1_VEL': 86.0, 'HUM_2_VEL': 72.0, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3669.82, 'HUM_1_POS_Y': 251.12, 'HUM_2_POS_X': 3541.71, 'HUM_2_POS_Y': 676.44, 'ROB_1_VEL': 42.0, 'ROB_1_CHG': 11.68937762, 'SCS': 0, 'FTG': 0.0}"
6,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 5.892338788, 'ORCH_1_Drestart': 3.196927353, 'ORCH_1_Fstop': 0.5032578348, 'ORCH_1_Frestart': 0.181812906, 'PSCS__TAU': 600, 'HUM_1_VEL': 65.98066294, 'HUM_2_VEL': 68.73918331, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3059.04, 'HUM_1_POS_Y': 338.15, 'HUM_2_POS_X': 2547.95, 'HUM_2_POS_Y': 572.69, 'ROB_1_VEL': 70.65316336, 'ROB_1_CHG': 11.17758122, 'SCS': 0, 'FTG': 0.0}"
7,False,,"{'PRGS': 0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 495, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.76602082, 'SCS': 0, 'FTG': 0.0}"
8,False,,"{'PRGS': 1, 'ORCH_1_Dstop': 6.42, 'ORCH_1_Drestart': 3.7, 'ORCH_1_Fstop': 0.53, 'ORCH_1_Frestart': 0.38, 'PSCS__TAU': 1, 'HUM_1_VEL': 83.0, 'HUM_2_VEL': 32.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 83.0, 'ROB_1_CHG': 11.2621159, 'SCS': 0, 'FTG': 0.0}"
9,True,"{'PRGS': 0.0, 'ORCH_1_Dstop': 6.537990147227469, 'ORCH_1_Drestart': 2.043107102807159, 'ORCH_1_Fstop': 0.6345684690417803, 'ORCH_1_Frestart': 0.2906880321018817, 'PSCS__TAU': 405.0, 'HUM_1_VEL': 99.21709917236544, 'HUM_2_VEL': 61.39420104152998, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 4435.4, 'HUM_1_POS_Y': 584.89, 'HUM_2_POS_X': 110.12, 'HUM_2_POS_Y': 754.44, 'ROB_1_VEL': 81.67202734521989, 'ROB_1_CHG': 12.36323709, 'SCS': 0.3731942200699997, 'FTG': 0.0795269916666666}","{'PRGS': 0, 'ORCH_1_Dstop': 5.9, 'ORCH_1_Drestart': 3.15, 'ORCH_1_Fstop': 0.65, 'ORCH_1_Frestart': 0.23, 'PSCS__TAU': 405, 'HUM_1_VEL': 96.0, 'HUM_2_VEL': 30.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 4435.4, 'HUM_1_POS_Y': 584.89, 'HUM_2_POS_X': 110.12, 'HUM_2_POS_Y': 754.44, 'ROB_1_VEL': 95.0, 'ROB_1_CHG': 12.36323709, 'SCS': 0, 'FTG': 0.0}"
