,opt_config,mc_config,has_match
0,"{'PRGS': 5, 'ORCH_1_Dstop': 5.97, 'ORCH_1_Drestart': 3.44, 'ORCH_1_Fstop': 0.76, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 462, 'HUM_1_VEL': 74.0, 'HUM_2_VEL': 63.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 2594.32, 'HUM_1_POS_Y': 190.47, 'HUM_2_POS_X': 2839.13, 'HUM_2_POS_Y': 209.03, 'ROB_1_VEL': 79.0, 'ROB_1_CHG': 11.94019989, 'SCS': 1, 'FTG': 0.0}",,False
1,"{'PRGS': 0, 'ORCH_1_Dstop': 6.42, 'ORCH_1_Drestart': 3.7, 'ORCH_1_Fstop': 0.53, 'ORCH_1_Frestart': 0.38, 'PSCS__TAU': 583, 'HUM_1_VEL': 83.0, 'HUM_2_VEL': 32.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 83.0, 'ROB_1_CHG': 11.10892004, 'SCS': 0, 'FTG': 0.0}",,False
2,"{'PRGS': 0, 'ORCH_1_Dstop': 7.17, 'ORCH_1_Drestart': 3.62, 'ORCH_1_Fstop': 0.71, 'ORCH_1_Frestart': 0.16, 'PSCS__TAU': 110, 'HUM_1_VEL': 69.0, 'HUM_2_VEL': 60.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 345.53, 'HUM_1_POS_Y': 169.44, 'HUM_2_POS_X': 1596.1, 'HUM_2_POS_Y': 315.44, 'ROB_1_VEL': 33.0, 'ROB_1_CHG': 12.1588767, 'SCS': 0, 'FTG': 0.0}",,False
3,"{'PRGS': 0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 165, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.66748416, 'SCS': 0, 'FTG': 0.0}",,False
4,"{'PRGS': 5, 'ORCH_1_Dstop': 6.87, 'ORCH_1_Drestart': 3.35, 'ORCH_1_Fstop': 0.59, 'ORCH_1_Frestart': 0.3, 'PSCS__TAU': 170, 'HUM_1_VEL': 59.0, 'HUM_2_VEL': 59.0, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 2700.97, 'HUM_1_POS_Y': 187.68, 'HUM_2_POS_X': 2876.2, 'HUM_2_POS_Y': 198.24, 'ROB_1_VEL': 76.0, 'ROB_1_CHG': 12.19910432, 'SCS': 1, 'FTG': 0.0}",,False
5,"{'PRGS': 0, 'ORCH_1_Dstop': 7.41, 'ORCH_1_Drestart': 3.84, 'ORCH_1_Fstop': 0.78, 'ORCH_1_Frestart': 0.14, 'PSCS__TAU': 518, 'HUM_1_VEL': 86.0, 'HUM_2_VEL': 72.0, 'HUM_1_FW': 1.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 0.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3669.82, 'HUM_1_POS_Y': 251.12, 'HUM_2_POS_X': 3541.71, 'HUM_2_POS_Y': 676.44, 'ROB_1_VEL': 42.0, 'ROB_1_CHG': 11.68937762, 'SCS': 0, 'FTG': 0.0}",,False
6,"{'PRGS': 0, 'ORCH_1_Dstop': 5.892338788, 'ORCH_1_Drestart': 3.196927353, 'ORCH_1_Fstop': 0.5032578348, 'ORCH_1_Frestart': 0.181812906, 'PSCS__TAU': 600, 'HUM_1_VEL': 65.98066294, 'HUM_2_VEL': 68.73918331, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 3059.04, 'HUM_1_POS_Y': 338.15, 'HUM_2_POS_X': 2547.95, 'HUM_2_POS_Y': 572.69, 'ROB_1_VEL': 70.65316336, 'ROB_1_CHG': 11.17758122, 'SCS': 0, 'FTG': 0.0}",,False
7,"{'PRGS': 0, 'ORCH_1_Dstop': 7.01, 'ORCH_1_Drestart': 4.45, 'ORCH_1_Fstop': 0.66, 'ORCH_1_Frestart': 0.36, 'PSCS__TAU': 495, 'HUM_1_VEL': 76.0, 'HUM_2_VEL': 75.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 2.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 801.43, 'HUM_1_POS_Y': 728.17, 'HUM_2_POS_X': 364.2, 'HUM_2_POS_Y': 741.87, 'ROB_1_VEL': 35.0, 'ROB_1_CHG': 11.76602082, 'SCS': 0, 'FTG': 0.0}",,False
8,"{'PRGS': 1, 'ORCH_1_Dstop': 6.42, 'ORCH_1_Drestart': 3.7, 'ORCH_1_Fstop': 0.53, 'ORCH_1_Frestart': 0.38, 'PSCS__TAU': 1, 'HUM_1_VEL': 83.0, 'HUM_2_VEL': 32.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 1.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 110.69, 'HUM_1_POS_Y': 488.87, 'HUM_2_POS_X': 519.32, 'HUM_2_POS_Y': 262.95, 'ROB_1_VEL': 83.0, 'ROB_1_CHG': 11.2621159, 'SCS': 0, 'FTG': 0.0}",,False
9,"{'PRGS': 0, 'ORCH_1_Dstop': 5.9, 'ORCH_1_Drestart': 3.15, 'ORCH_1_Fstop': 0.65, 'ORCH_1_Frestart': 0.23, 'PSCS__TAU': 405, 'HUM_1_VEL': 96.0, 'HUM_2_VEL': 30.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 1.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 2.0, 'HUM_1_POS_X': 4435.4, 'HUM_1_POS_Y': 584.89, 'HUM_2_POS_X': 110.12, 'HUM_2_POS_Y': 754.44, 'ROB_1_VEL': 95.0, 'ROB_1_CHG': 12.36323709, 'SCS': 0, 'FTG': 0.0}",,False
10,"{'PRGS': 0, 'ORCH_1_Dstop': 7.05, 'ORCH_1_Drestart': 2.12, 'ORCH_1_Fstop': 0.74, 'ORCH_1_Frestart': 0.33, 'PSCS__TAU': 558, 'HUM_1_VEL': 75.0, 'HUM_2_VEL': 35.0, 'HUM_1_FW': 2.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 2.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 0.0, 'HUM_1_POS_X': 3138.2, 'HUM_1_POS_Y': 228.91, 'HUM_2_POS_X': 1217.09, 'HUM_2_POS_Y': 746.95, 'ROB_1_VEL': 32.0, 'ROB_1_CHG': 12.25219469, 'SCS': 0, 'FTG': 0.0}",,False
11,"{'PRGS': 0, 'ORCH_1_Dstop': 5.146978859, 'ORCH_1_Drestart': 4.132282655, 'ORCH_1_Fstop': 0.7896940854, 'ORCH_1_Frestart': 0.1139795556, 'PSCS__TAU': 498, 'HUM_1_VEL': 51.31194686, 'HUM_2_VEL': 52.73491371, 'HUM_1_FW': 0.0, 'HUM_1_AGE': 0.0, 'HUM_1_STA': 0.0, 'HUM_2_FW': 1.0, 'HUM_2_AGE': 1.0, 'HUM_2_STA': 1.0, 'HUM_1_POS_X': 4368.95, 'HUM_1_POS_Y': 701.34, 'HUM_2_POS_X': 2229.06, 'HUM_2_POS_Y': 294.91, 'ROB_1_VEL': 54.45453006, 'ROB_1_CHG': 12.31849178, 'SCS': 0, 'FTG': 0.0}",,False
