PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
5.0,7.410856513469294,2.8761788237648265,0.6831816364157502,0.22478217430068723,462.0,95.30213307150609,41.87869077555336,2.0,0.0,1.0,1.0,1.0,2.0,2594.32,190.47,2839.13,209.03,32.2066395531855,11.94019989,0.4289942292499996,0.014563599999999994
0.0,7.216098995146787,2.435232884964209,0.7212830770484405,0.3257100909296389,583.0,59.97692307093629,98.81327405538866,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,88.14512496706526,11.10892004,0.528666279,0.2577019392857143
0.0,7.188648936133608,2.9441840762901195,0.6508659851216325,0.22970883635122358,110.0,73.88850012075198,42.92854871876536,0.0,0.0,0.0,2.0,0.0,2.0,345.53,169.44,1596.1,315.44,89.43071134795315,12.1588767,0.5610077093333334,0.010178500000000005
0.0,7.173979365288999,2.9565316372190176,0.6416705272089139,0.23563122864928382,165.0,71.73124593630519,39.085166832433686,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,89.90215356935188,11.66748416,0.5115471475714287,0.015312283333333334
5.0,6.962383597707994,4.317501630019309,0.6563302568085144,0.22201068484081474,170.0,77.88441826405729,51.643200903576684,0.0,1.0,1.0,2.0,1.0,0.0,2700.97,187.68,2876.2,198.24,92.32398955396638,12.19910432,0.596697761333333,0.017025307142857136
0.0,7.289122374430048,4.279695123174104,0.6537988104611706,0.38998489233596795,518.0,81.90791141514536,61.56636158902822,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,90.60084935435894,11.68937762,0.7960923190000004,0.011053407142857144
0.0,7.181197187772481,2.0073114225036495,0.5897157291368358,0.22107266779695797,600.0,97.14209463750299,42.22514133768976,0.0,0.0,0.0,1.0,1.0,1.0,3059.04,338.15,2547.95,572.69,94.3052948667435,11.17758122,0.7671107303333337,0.29480132261904757
0.0,7.207440608053926,2.710494809074156,0.7076967847007942,0.36059018509002444,495.0,90.49905300314863,75.50399854540873,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,30.83868914510749,11.76602082,0.19202598783333336,0.00403645
1.0,5.799720647232155,3.174190684528869,0.6552177078412962,0.21738882108380472,1.0,77.06155157002357,46.480240593178976,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,91.46822054736617,11.2621159,0.389151327,0.12886174999999994
0.0,5.658088013337926,4.497165295232958,0.6572515096052574,0.37496219204506476,405.0,73.56111796339613,68.17829967031035,2.0,0.0,1.0,2.0,1.0,2.0,4435.4,584.89,110.12,754.44,90.09317657426175,12.36323709,0.46893556217857124,0.014059683333333326
