PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
5,5.97,3.44,0.76,0.14,462,74.0,63.0,d,e/u,d,e/u,"2594.32, 190.47","2839.13, 209.03",79.0,11.94019989,1.0,1.0,1,0.0
0,6.42,3.7,0.53,0.38,583,83.0,32.0,d,e/u,d,e/u,"110.69, 488.87","519.32, 262.95",83.0,11.10892004,0.0,0.0981446,0,0.0
0,7.17,3.62,0.71,0.16,110,69.0,60.0,d,e/u,d,e/u,"345.53, 169.44","1596.10, 315.44",33.0,12.1588767,0.0,0.0981446,0,0.032
0,7.01,4.45,0.66,0.36,165,76.0,75.0,d,e/u,d,e/u,"801.43, 728.17","364.20, 741.87",35.0,11.66748416,0.0,0.0981446,0,0.0
5,6.87,3.35,0.59,0.3,170,59.0,59.0,d,e/u,d,e/u,"2700.97, 187.68","2876.20, 198.24",76.0,12.19910432,1.0,1.0,1,0.0
0,7.41,3.84,0.78,0.14,518,86.0,72.0,d,e/u,d,e/u,"3669.82, 251.12","3541.71, 676.44",42.0,11.68937762,0.129131,0.229096,0,0.0466
0,5.892338788,3.196927353,0.5032578348,0.181812906,600,65.98066294,68.73918331,d,e/u,d,e/u,"3059.04, 338.15","2547.95, 572.69",70.65316336,11.17758122,0.0,0.0981446,0,0.0
0,7.01,4.45,0.66,0.36,495,76.0,75.0,d,e/u,d,e/u,"801.43, 728.17","364.20, 741.87",35.0,11.76602082,0.0,0.0981446,0,0.0
1,6.42,3.7,0.53,0.38,1,83.0,32.0,d,e/u,d,e/u,"110.69, 488.87","519.32, 262.95",83.0,11.2621159,0.0,0.0981446,0,0.2644
0,5.9,3.15,0.65,0.23,405,96.0,30.0,d,e/u,d,e/u,"4435.40, 584.89","110.12, 754.44",95.0,12.36323709,0.0,0.0981446,0,0.0621
