PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS
5.0,5.97,3.44,0.76,0.14,462.0,74.0,63.0,2.0,0.0,1.0,1.0,1.0,2.0,2594.32,190.47,2839.13,209.03,79.0,11.94019989,0.14868512025000016
0.0,6.42,3.7,0.53,0.38,583.0,83.0,32.0,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,83.0,11.10892004,0.2535665813333331
0.0,7.17,3.62,0.71,0.16,110.0,69.0,60.0,0.0,0.0,0.0,2.0,0.0,2.0,345.53,169.44,1596.1,315.44,33.0,12.1588767,0.22142551266666657
0.0,7.01,4.45,0.66,0.36,165.0,76.0,75.0,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,35.0,11.66748416,0.04907230000000001
5.0,6.87,3.35,0.59,0.3,170.0,59.0,59.0,0.0,1.0,1.0,2.0,1.0,0.0,2700.97,187.68,2876.2,198.24,76.0,12.19910432,0.12302830600000013
0.0,7.41,3.84,0.78,0.14,518.0,86.0,72.0,1.0,1.0,0.0,2.0,0.0,1.0,3669.82,251.12,3541.71,676.44,42.0,11.68937762,0.3502783749999997
0.0,5.892338788,3.196927353,0.5032578348,0.181812906,600.0,65.98066294,68.73918331,0.0,0.0,0.0,1.0,1.0,1.0,3059.04,338.15,2547.95,572.69,70.65316336,11.17758122,0.13285080900000015
0.0,7.01,4.45,0.66,0.36,495.0,76.0,75.0,2.0,1.0,2.0,2.0,1.0,1.0,801.43,728.17,364.2,741.87,35.0,11.76602082,0.05057092200000001
1.0,6.42,3.7,0.53,0.38,1.0,83.0,32.0,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,83.0,11.2621159,0.11836621800000004
0.0,5.9,3.15,0.65,0.23,405.0,96.0,30.0,2.0,0.0,1.0,2.0,1.0,2.0,4435.4,584.89,110.12,754.44,95.0,12.36323709,0.48525237066666654
0.0,7.05,2.12,0.74,0.33,558.0,75.0,35.0,2.0,0.0,0.0,2.0,1.0,0.0,3138.2,228.91,1217.09,746.95,32.0,12.25219469,0.20195885783333323
0.0,5.146978859,4.132282655,0.7896940854,0.1139795556,498.0,51.31194686,52.73491371,0.0,0.0,0.0,1.0,1.0,1.0,4368.95,701.34,2229.06,294.91,54.45453006,12.31849178,0.16614154108333343
0.0,7.12,3.59,0.53,0.11,431.0,38.0,79.0,0.0,0.0,2.0,1.0,0.0,1.0,3754.34,789.02,176.55,363.53,76.0,11.15689104,0.11128143800000012
0.0,7.07,3.85,0.61,0.32,419.0,32.0,55.0,1.0,0.0,2.0,0.0,0.0,1.0,897.86,674.11,1003.85,774.62,95.0,11.48857856,0.38740253299999977
4.0,6.42,2.66,0.55,0.21,1.0,20.0,48.0,2.0,1.0,1.0,2.0,1.0,0.0,2628.06,190.91,2882.69,209.97,92.0,11.09797801,0.6434160269999997
0.0,7.375736634,2.749466285,0.5942004225,0.2960589623,376.0,65.28569832,74.69552308,0.0,1.0,0.0,1.0,0.0,0.0,3681.29,733.16,755.82,276.56,41.09619513,11.31857221,0.23149689890476186
2.0,5.64,4.07,0.54,0.17,171.0,34.0,57.0,1.0,1.0,2.0,0.0,1.0,0.0,387.72,259.61,2095.46,212.76,83.0,12.37086394,0.31326945426190467
0.0,5.97,3.44,0.76,0.14,693.0,74.0,63.0,2.0,0.0,1.0,1.0,1.0,2.0,2435.56,591.61,1462.01,536.68,79.0,12.00947781,0.10040291150000004
0.0,6.08532006,2.931816945,0.6881047906,0.1958712697,662.0,72.34518424,35.69012464,1.0,1.0,1.0,1.0,1.0,1.0,3648.55,292.68,2405.18,406.77,34.04278774,12.20243495,0.17578041950000006
0.0,6.34,3.61,0.73,0.27,380.0,95.0,38.0,0.0,0.0,1.0,2.0,0.0,0.0,2184.49,263.17,70.15,332.47,30.0,11.47632012,0.1513168585000002
0.0,5.44,2.15,0.74,0.24,1.0,96.0,52.0,2.0,1.0,1.0,0.0,1.0,2.0,394.74,767.75,1983.4,299.33,68.0,11.75540571,0.04907230000000001
0.0,5.9,3.15,0.65,0.23,405.0,96.0,30.0,2.0,0.0,1.0,2.0,1.0,2.0,4435.4,584.89,110.12,754.44,95.0,12.36323709,0.48525237066666654
4.0,6.82,3.14,0.74,0.26,120.0,82.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,1100.11,174.04,2892.44,200.54,72.0,11.51347202,0.12147524100000016
0.0,5.541728755,3.883634661,0.65590006,0.1111213221,316.0,72.00214868,54.36420788,1.0,0.0,2.0,1.0,1.0,0.0,833.55,205.47,2652.23,681.42,92.60541929,11.42254907,0.5030077885555552
0.0,5.587365843,2.595963812,0.5644867794,0.2625794053,378.0,59.79008117,92.8106596,2.0,1.0,1.0,2.0,0.0,1.0,4161.81,215.39,2432.66,613.06,85.96867024,12.37729112,0.6430058192499999
0.0,7.12,3.68,0.6,0.23,385.0,37.0,85.0,0.0,0.0,0.0,0.0,0.0,2.0,2974.93,410.44,3634.84,277.1,61.0,12.30329733,0.12874923250000003
0.0,5.256304437,3.233200786,0.6568100368,0.3770330993,415.0,57.51711777,95.88384548,2.0,1.0,0.0,0.0,1.0,1.0,3522.42,761.63,2418.01,668.18,50.91075799,12.32257271,0.18440089441666674
0.0,6.96,2.91,0.59,0.16,571.0,80.0,78.0,1.0,1.0,2.0,0.0,0.0,1.0,4231.44,255.66,1354.43,361.91,33.0,11.53255844,0.13740854200000022
