Run,Method,ExecutionTime,OK,Error
1,RandomOversampling,0.0010119790003955131,True,
2,RandomOversampling,0.0006900309999764431,True,
3,RandomOversampling,0.0007317079998756526,True,
4,RandomOversampling,0.0006845360003353562,True,
5,RandomOversampling,0.0007128270008252002,True,
6,RandomOversampling,0.0007133670005714521,True,
7,RandomOversampling,0.0006972169994696742,True,
8,RandomOversampling,0.0010531619991525076,True,
9,RandomOversampling,0.0011568390000320505,True,
10,RandomOversampling,0.0010644499998306856,True,
1,LimeBasedOversampling,1.1841967340005795,True,
2,LimeBasedOversampling,1.071887289001097,True,
3,LimeBasedOversampling,1.0644298989991512,True,
4,LimeBasedOversampling,1.2859916919987882,True,
5,LimeBasedOversampling,1.1534878369984654,True,
6,LimeBasedOversampling,1.3537083250012074,True,
7,LimeBasedOversampling,1.16392357299992,True,
8,LimeBasedOversampling,0.900439514000027,True,
9,LimeBasedOversampling,0.9049714259999746,True,
10,LimeBasedOversampling,1.0223960710009123,True,
1,KDEOversampling,0.13545379700008198,True,
2,KDEOversampling,0.12526684299882618,True,
3,KDEOversampling,0.12975305799955095,True,
4,KDEOversampling,0.10377187400081311,True,
5,KDEOversampling,0.10882087000027241,True,
6,KDEOversampling,0.09980624500167323,True,
7,KDEOversampling,0.10602217799896607,True,
8,KDEOversampling,0.15187016899835726,True,
9,KDEOversampling,0.1498203969986207,True,
10,KDEOversampling,0.1418464899998071,True,
1,PlugInvalid,0.002562196999861044,True,
2,PlugInvalid,0.0018778190005832585,True,
3,PlugInvalid,0.0016193739993468625,True,
4,PlugInvalid,0.001170704999822192,True,
5,PlugInvalid,0.0010647330000210786,True,
6,PlugInvalid,0.0011747159987862688,True,
7,PlugInvalid,0.0015818829997442663,True,
8,PlugInvalid,0.00388232200020866,True,
9,PlugInvalid,0.001610093999261153,True,
10,PlugInvalid,0.0019973749986093026,True,
