,PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,SCS,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG
0,0,7.01,4.45,0.66,0.36,495,76.0,75.0,,1,2,,1,1,0.0,801.43,728.17,364.2,741.87,35.0,11.76602082
1,0,5.91,3.66,0.72,0.16,123,81.0,83.0,,0,0,,1,0,0.0,267.3,157.62,4377.75,457.08,79.0,11.76288775
2,0,5.94,4.09,0.55,0.34,616,95.0,73.0,,0,1,,0,2,0.0,1225.98,208.77,1403.17,341.99,44.0,11.44531527
3,0,7.29,3.03,0.75,0.36,488,64.0,74.0,,0,1,,0,1,0.0,210.64,762.82,1730.07,368.56,52.0,12.26656823
4,0,7.04,3.54,0.54,0.23,451,42.0,83.0,,1,1,,0,1,0.5,526.6,250.38,305.31,750.11,94.0,11.21870049
5,0,6.21,3.04,0.68,0.27,687,43.0,77.0,,1,2,,1,0,0.0,169.43,713.47,3733.34,215.79,94.0,11.34362422
6,4,5.94,4.09,0.55,0.34,1,95.0,73.0,,0,1,,0,2,0.0,2865.39,191.72,2906.42,194.69,44.0,11.26618748
7,0,5.48,4.39,0.61,0.26,339,89.0,54.0,,1,0,,0,0,0.5,331.56,160.89,2208.45,330.22,71.0,11.40369547
8,0,6.42,2.15,0.71,0.12,145,51.0,83.0,,0,0,,1,1,0.0,1976.28,407.9,2528.11,229.78,59.0,12.05550181
9,0,5.27,3.48,0.77,0.2,317,47.0,42.0,,1,0,,1,2,0.0,374.45,179.26,4048.1,687.35,45.0,11.25151536
10,0,5.17,4.01,0.52,0.36,484,34.0,35.0,,0,1,,0,2,0.5,2243.24,545.97,2157.96,672.09,40.0,12.12244509
11,2,7.23,4.3,0.66,0.24,335,61.0,46.0,,1,0,,0,1,0.5,104.08,278.9,1676.47,169.83,98.0,12.03736869
12,0,7.05,2.13,0.64,0.29,466,98.0,67.0,,0,1,,0,1,0.5,3922.46,260.71,1380.68,415.8,82.0,11.65040445
13,5,6.84,4.09,0.55,0.4,167,49.0,90.0,,0,0,,0,2,0.5,2607.15,190.86,2866.97,194.21,92.0,11.57133473
14,0,5.82,3.94,0.54,0.31,363,77.0,78.0,,0,0,,0,0,0.5,311.58,155.65,2436.27,221.71,99.0,12.22940599
