PROGRESS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND,FTG_HUM_1,FTG_HUM_2
0,7.106390096833568,4.2072291105093145,0.6860496423430033,0.38327698608418387,506,77.38337358232144,72.79568396996876,foc,y/s,foc,e/s,"801.43, 728.17","364.20, 741.87",36.26556351709664,11.67066108574872,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,7.160398828234763,4.4958430410356645,0.6588007803813147,0.35653794034234465,512,75.67824802835537,81.87161049412096,distr,y/s,distr,e/u,"801.43, 728.17","364.20, 741.87",39.71710283262428,11.827280279458623,0.0,0.0499441,0.1719+-0.1719,0.0000+-0.0000
0,6.946310554069622,4.450502200085731,0.6543441537790827,0.3896211537457826,458,72.09953821293244,74.75686712760196,free,e/h,distr,y/s,"801.43, 728.17","364.20, 741.87",36.98839353889457,11.780871662891936,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,6.768327537872093,4.22620590083348,0.6431149660428302,0.35432547589252267,454,70.8050368211716,76.75716477710002,foc,y/s,free,e/h,"801.43, 728.17","364.20, 741.87",34.03186821529302,11.81598790999252,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,6.8562469465037585,4.418861814446023,0.6791465215700164,0.36045828943013447,532,70.63633246147849,80.95095959652716,foc,y/h,foc,e/h,"801.43, 728.17","364.20, 741.87",38.230308938747235,11.873458936416993,0.0,0.0,0,0
0,6.817242708139739,4.389001610945584,0.6311201458622195,0.3457151601756708,452,81.91523760796196,80.3516834810476,free,e/h,distr,e/s,"801.43, 728.17","364.20, 741.87",39.387220432222385,11.725568477029253,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,7.051305013486506,4.307470255613496,0.6848213619053471,0.34969115185701727,517,79.32192844469449,71.22809996966917,free,y/u,distr,y/u,"801.43, 728.17","364.20, 741.87",38.50480340930906,11.736604986998774,0.0,0.0,0,0
0,7.039261913401697,4.2685405992407,0.656377590518749,0.3547696933515388,475,70.83483945231441,78.44079450837606,foc,y/u,foc,y/s,"801.43, 728.17","364.20, 741.87",34.0893798537079,11.74104621163127,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,7.080087030543751,4.33193378393991,0.6547353224533151,0.37022634835708196,463,69.33983617365013,80.26172847807663,distr,e/h,foc,y/h,"801.43, 728.17","364.20, 741.87",35.40779070011382,11.708986400710033,0.0,0.0499441,0.0494+-0.0444,0.0000+-0.0000
0,7.170655937527958,4.271580067972097,0.6517950303790088,0.3377583326325901,518,70.12290775960636,77.98838575255269,distr,e/h,distr,y/s,"801.43, 728.17","364.20, 741.87",35.11744904389937,11.793383217358425,0.0,0.0499441,0.0352+-0.0181,0.0000+-0.0000
0,7.001579397863948,4.308397249650802,0.6722787116315835,0.35488107596605933,482,71.04769041461978,75.31951320540495,foc,y/u,foc,e/s,"801.43, 728.17","364.20, 741.87",39.12705339989577,11.874846827608057,0.0,0.0499441,0.4214+-0.4214,0.0000+-0.0000
0,6.862858494841415,4.2457114581416615,0.6480726328732604,0.33030707938578885,460,70.2295607816696,76.02193853271687,foc,e/h,distr,e/u,"801.43, 728.17","364.20, 741.87",33.290832448981135,11.72840953900712,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,6.944265219492015,4.385132651814673,0.6517634389777297,0.3835068099441439,521,73.39617373294462,78.97626243568638,free,y/s,distr,y/u,"801.43, 728.17","364.20, 741.87",34.242916008629024,11.748363860144574,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,6.8305721094847,4.432922492268986,0.652833705358371,0.34485804017341004,473,82.24038351956371,71.21539373353144,foc,y/u,foc,y/h,"801.43, 728.17","364.20, 741.87",37.00438562865431,11.763270225581625,0.0,0.0,0,0
0,7.128934337212857,4.271644826612479,0.6796163538375766,0.34775876433861586,477,79.09364529382945,80.1022551469763,distr,y/s,free,e/s,"801.43, 728.17","364.20, 741.87",41.84670789228903,11.865052648321702,0.0,0.0,0,0
0,6.76852256306034,4.209940624042519,0.6440944548022868,0.37249351054653346,460,71.6189980157253,76.73305468139506,foc,y/s,foc,y/s,"801.43, 728.17","364.20, 741.87",40.50767071947015,11.677291345550117,0.0,0.0,0,0
0,6.937928332413366,4.388297035084365,0.6319282766244915,0.36812398648350614,493,71.1010053216567,73.15261568258794,free,e/s,free,y/h,"801.43, 728.17","364.20, 741.87",30.391413095524925,11.873284096941754,0.0,0.0499441,0.0000+-0.0000,0.0000+-0.0000
0,6.838279380453713,4.439031390072397,0.6543729068825441,0.35686582843493664,509,79.34752108017389,74.04264163389256,foc,e/s,free,y/h,"801.43, 728.17","364.20, 741.87",40.277783418087225,11.80902016305767,0.0,0.0,0,0
0,6.8234000402132375,4.476641898149123,0.6889177630277017,0.3864478914934615,491,79.57916361148261,71.43745558565436,distr,y/h,free,y/s,"801.43, 728.17","364.20, 741.87",35.319230016009605,11.693801051684888,0.0,0.0499441,0.0501+-0.0167,0.0000+-0.0000
0,7.248935511614143,4.392889552188745,0.6837636392013751,0.33948886846752724,521,69.3030077033326,81.27394870289965,free,y/u,distr,e/u,"801.43, 728.17","364.20, 741.87",35.03700130010672,11.873026208956034,0.0,0.0499441,0.4252+-0.4252,0.0000+-0.0000
