PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,7.256777409179115,2.8822079459678496,0.5446865848072303,0.3282497740251982,323.0,51.55471887976384,46.50683299587446,0.0,0.0,0.0,1.0,1.0,1.0,2233.51,464.92,2434.94,304.36,94.9937969935684,12.29929284,0.80436,0.03258459285714289
0.0,7.256777409179115,2.8822079459678496,0.5446865848072303,0.3282497740251982,323.0,51.55471887976384,46.50683299587446,0.0,0.0,0.0,1.0,1.0,1.0,2233.51,464.92,2434.94,304.36,94.9937969935684,12.29929284,0.80436,0.03258459285714289
0.0,7.341461958604918,2.3169014641131085,0.7735109435835068,0.3841776069397504,105.0,96.75662818105616,33.93234970054821,1.0,0.0,2.0,1.0,1.0,0.0,272.51,136.17,2652.23,681.42,94.92553354874387,11.35922609,0.8001027777777782,0.18432408333333336
3.0,7.170651612572991,3.4781416620012173,0.7506335323356815,0.22513233286301768,311.0,56.98583138662789,55.73776050570585,0.0,0.0,1.0,1.0,0.0,1.0,398.58,160.42,2814.54,198.06,91.13022831823395,11.60339367,0.9426319841269843,0.05076449999999998
0.0,6.27809644702884,4.035908501350588,0.7580019085451678,0.26354720784781216,221.0,30.893264960019714,45.857419285472865,0.0,0.0,0.0,2.0,0.0,2.0,403.29,171.22,1596.1,315.44,86.1441010213244,12.19210188,0.7471497619047621,0.00561595238095238
2.0,5.778016859488333,4.021536039321394,0.6612251780368387,0.36881817455689775,345.0,77.48981156757303,44.31165748120622,1.0,1.0,0.0,2.0,0.0,1.0,662.1,191.32,2299.97,199.23,91.47050675252432,11.6369362,0.9669905555555555,0.03520550000000003
1.0,6.372709540748039,2.346031868310281,0.6264955444095918,0.3696841625963922,145.0,57.868672846886405,30.420050243773613,1.0,0.0,2.0,1.0,1.0,0.0,527.93,195.84,3419.8,756.67,91.21322970151256,12.01883034,0.7851733333333334,0.06440991666666662
0.0,6.896373247029967,2.174975376239274,0.511109962300288,0.32046701069187666,1.0,32.02887523367019,76.57888976904245,2.0,0.0,2.0,2.0,1.0,0.0,2250.17,407.14,2381.88,335.87,67.24162353454449,12.1969005,0.4065514761904761,0.00019549999999999998
0.0,5.278097229275726,3.657240490052843,0.7195142813171153,0.2899787016291682,123.0,54.19733290682452,41.009668452562,2.0,0.0,0.0,1.0,1.0,0.0,267.3,157.62,4377.75,457.08,98.91559713798047,11.76289693,0.7135300000000002,0.002254500000000001
1.0,7.1872115553331986,3.8694802778455473,0.5199525633066066,0.39786626273831177,177.0,67.36201119215426,42.90430307113226,0.0,1.0,1.0,1.0,0.0,2.0,58.26,254.49,1727.25,213.81,94.9803739044548,11.52248231,0.9168316666666668,0.22055149999999998
0.0,7.309884475360426,3.7024605908554893,0.7486868927354833,0.14347345473498221,219.0,54.10749038034674,36.002574585625865,0.0,0.0,0.0,0.0,1.0,2.0,244.71,195.46,1495.42,387.52,90.67696862703052,12.10531402,0.5481416666666667,0.006432119047619049
0.0,5.2133687860617055,3.615352432051546,0.7541996442180176,0.16022096191368704,461.0,41.38930955355553,46.43496618084005,1.0,0.0,0.0,0.0,0.0,0.0,285.87,142.91,3028.9,755.84,85.94845555017436,11.39385073,0.47726666666666673,0.0036589999999999995
0.0,7.486123583778328,2.2925042339044395,0.5162386529901921,0.36277036212977537,312.0,89.65543034115645,36.014276122609786,1.0,0.0,2.0,1.0,1.0,0.0,335.83,165.76,3537.83,710.51,32.39887881930477,12.12664765,0.3515662698412698,0.2445550833333333
0.0,7.254390176219918,2.4900763675083826,0.5304166104357616,0.23362127792285148,110.0,65.79542052558415,65.76360956121987,0.0,0.0,0.0,2.0,0.0,2.0,403.29,171.22,1596.1,315.44,93.83154423706907,12.15886786,0.951251666666667,0.010611000000000002
0.0,5.951489591108781,4.049787158887478,0.7513763027827405,0.3211083723671071,169.0,56.91177460098559,42.88804671116245,0.0,1.0,0.0,0.0,0.0,0.0,331.56,160.89,2208.45,330.22,94.82701102096654,11.35341101,0.8681930952380956,0.0040711666666666665
