PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0.0,5.138606338751668,4.239019773743163,0.7486942698650536,0.21454569910940852,215.0,31.178679860671565,42.81035064703693,0.0,0.0,0.0,1.0,1.0,1.0,359.71,164.64,2434.94,304.36,64.30324074608677,12.26623357,0.22315000000000004,0.004053166666666668
0.0,5.031581250603559,4.243339034017281,0.6222299432834693,0.3642845528096811,395.0,42.386404239251846,32.10116363655697,0.0,1.0,0.0,2.0,1.0,1.0,3537.6,727.65,3282.57,257.79,82.35974629532718,11.5080543,0.7151152380952384,0.014261349999999989
0.0,5.0299781445932155,3.9914180052323838,0.7749704454830009,0.34217183905610915,169.0,36.625422708053286,62.42350745804333,0.0,1.0,0.0,0.0,0.0,0.0,331.56,160.89,2208.45,330.22,96.83330978410736,11.35341101,0.6516038095238098,0.0037339999999999995
0.0,5.039403747027784,3.3134965965380294,0.7927579246416951,0.25817175424211436,237.0,36.10308886186638,34.69343356622933,1.0,1.0,1.0,1.0,1.0,1.0,310.72,131.25,618.66,271.69,99.26916961393182,12.19439132,0.6776916666666668,0.045191534523809515
0.0,6.397021495170905,4.039548611991801,0.5045336447934579,0.34900994815273345,545.0,72.93347717157326,40.11994044474364,1.0,0.0,0.0,2.0,0.0,0.0,1808.47,343.5,2436.27,221.71,86.45863315087269,12.28424881,0.581132619047619,0.010508823809523811
4.0,5.0140358924231565,2.7835604453981073,0.7071808157875396,0.3646341119620506,333.0,53.83914470944458,39.285135958177406,1.0,0.0,0.0,0.0,0.0,2.0,1498.45,126.34,2848.97,194.29,32.21029138968836,11.62042621,0.7957359523809525,0.017019500000000007
0.0,6.889343344464783,2.0627170257954694,0.6708914750234252,0.33830747485736473,121.0,41.86118079594348,72.12984193093227,2.0,0.0,2.0,2.0,1.0,0.0,2250.17,407.14,2381.88,335.87,66.72692163866137,12.23142426,0.37095238095238103,0.00019549999999999998
0.0,6.612494262165562,4.100148438023622,0.7899674292924256,0.3369195805156518,224.0,38.129379038988034,32.409371622146345,0.0,0.0,2.0,0.0,1.0,1.0,339.56,166.71,1597.98,306.47,99.32227738722217,11.36650278,0.46340476190476193,0.1778389404761905
0.0,7.36389718622453,4.0660887831770784,0.5083959399570731,0.1535542384310564,499.0,53.24445020567859,32.57360264188365,1.0,0.0,0.0,0.0,0.0,2.0,2395.67,515.35,2973.66,264.56,93.69435377212781,11.67045035,0.22010166666666667,0.007296349999999999
0.0,5.02404219761761,2.574752674349726,0.6627765739596276,0.2507208365411962,210.0,44.39135811267276,68.46328671604272,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,76.28387256981492,11.10645673,0.6123450000000001,0.022414541666666662
1.0,5.020780786434472,4.016959640560603,0.5324198199004224,0.3657249280637895,389.0,59.57677233172218,98.43736513219656,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,70.4758941325367,11.13776221,0.6259038095238099,0.09310449999999998
0.0,5.002481968294424,2.1109913847454975,0.7668438900801257,0.29960299031103815,536.0,37.115241090519504,38.17489967160845,0.0,0.0,2.0,0.0,1.0,2.0,3572.83,278.65,1329.62,782.03,83.41997752935758,11.31748321,0.7198835714285715,0.3313374595238095
0.0,5.006854531382981,3.614951805472519,0.622699588757861,0.2942982407674488,504.0,92.0826337444194,99.2319723564615,0.0,1.0,0.0,1.0,0.0,1.0,128.43,521.68,158.09,205.08,67.68433357207043,12.08804791,0.6896533333333335,0.025051677380952386
0.0,5.099869523926914,4.195433300974473,0.7559297019844747,0.14703741839382528,221.0,30.368821854845137,40.102889466378535,0.0,0.0,0.0,2.0,0.0,2.0,345.53,169.44,1596.1,315.44,60.677735131742836,12.19210441,0.21342023809523814,0.004955416666666667
0.0,5.00451084590391,2.132226401318516,0.6695703484304499,0.25428187501326305,695.0,42.73149004672336,31.338768450683723,1.0,0.0,1.0,0.0,0.0,1.0,2285.24,461.01,1972.2,631.59,78.8883443654722,11.25425353,0.7004321428571428,0.09289725277777779
0.0,7.261310166215734,3.96893625290295,0.6859848544005949,0.3669627018336392,466.0,61.027204723660546,41.46513162817368,2.0,0.0,0.0,1.0,0.0,0.0,1803.78,378.72,2999.74,645.48,94.30685373766846,12.20066804,0.46688095238095245,0.011366541666666664
1.0,6.727891848901285,3.5055276188746323,0.5001660906837107,0.396572903996022,135.0,49.99120724748566,34.47225535498712,2.0,0.0,1.0,2.0,1.0,2.0,615.86,192.81,1371.8,217.54,98.43514719689705,12.28255262,0.5573054761904763,0.20002775000000003
0.0,7.194910044222557,3.282125395012783,0.5780620317550632,0.1974408587839186,126.0,43.69798721689462,75.15984621220169,0.0,0.0,1.0,2.0,0.0,0.0,2184.49,263.17,70.15,332.47,83.98354984879778,11.39983978,0.10889333333333334,0.026147444047619036
0.0,5.027040630792289,2.1222331142590454,0.7809629707667435,0.2956128763757409,100.0,89.13141117745553,99.25627526539193,0.0,0.0,1.0,1.0,0.0,0.0,377.77,164.14,4200.11,792.34,68.35177494605281,11.63124338,0.6145583333333334,0.01911983333333334
3.0,5.053095603255971,4.089873416045355,0.7611464817411858,0.3232062231405599,188.0,39.04810004446182,54.557431953422544,1.0,1.0,0.0,2.0,1.0,0.0,593.41,194.87,2983.08,199.98,92.40032327663874,11.58904548,0.6246083333333334,0.002507999999999999
1.0,7.432914473279011,2.1090385997873273,0.5000343124452035,0.16833920797616458,195.0,93.02339382522186,36.14604597619193,2.0,1.0,1.0,2.0,1.0,0.0,110.69,488.87,519.32,262.95,80.57524331469219,11.19922654,0.42709500000000006,0.13993699999999987
0.0,5.007175817577897,3.0643507834566037,0.6691949285175337,0.2835241466912896,274.0,45.39544198819914,36.59602251412754,2.0,1.0,1.0,0.0,1.0,0.0,1549.93,226.38,3014.82,769.25,72.02872716699133,11.26935267,0.6387616666666667,0.0759524345238095
0.0,7.387816530017046,4.077144193114498,0.5959477294921263,0.15285887667251657,337.0,53.19896775894326,32.74223035961348,0.0,0.0,0.0,0.0,0.0,2.0,3009.75,615.6,947.86,795.78,86.51485993389043,11.58488282,0.17111904761904764,0.0015163750000000001
