PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
1.0,6.900333925173257,2.0114717104643365,0.5089118399006338,0.32763013621353393,135.0,70.06276764680881,58.67550159922472,2.0,0.0,1.0,2.0,1.0,2.0,537.9,195.31,1371.8,217.54,99.5459185008916,12.28256139,0.7291754761904761,0.21809375000000003
5.0,5.0215763604978845,3.491893512160999,0.5707441872794816,0.26844334631576877,196.0,57.412829499722264,96.42916994509024,0.0,0.0,1.0,0.0,0.0,2.0,2933.4,196.73,2937.64,203.55,94.61256270433381,11.09389068,0.7385500000000002,0.0030375000000000003
4.0,6.885620431019238,2.048496984145422,0.788569600593455,0.1066195456642125,458.0,67.1553806769033,37.75047667737775,0.0,1.0,2.0,1.0,1.0,0.0,313.23,326.62,2871.27,197.78,81.53948859590571,11.27493409,0.3404,0.13422647916666663
0.0,5.014387717810635,2.0196333661173553,0.5831788245729858,0.39707615412791436,470.0,50.35997863135908,34.87215168049552,0.0,1.0,2.0,2.0,0.0,0.0,1732.13,371.8,322.29,266.87,99.56551624793393,12.27882619,0.8176004761904762,0.4282949833333332
1.0,5.033256172975263,2.06080299049293,0.7924139876396044,0.30114276356220276,145.0,63.81581367671593,30.07254858577661,1.0,0.0,2.0,1.0,1.0,0.0,527.93,195.84,3419.8,756.67,70.83014421887596,12.01883034,0.7576176190476192,0.0839470833333332
0.0,7.398001085591371,2.038742473634736,0.697912764926388,0.29080215524554853,503.0,48.773956628004804,30.584571455343607,0.0,1.0,0.0,1.0,0.0,1.0,128.43,521.68,158.09,205.08,99.38616362212883,12.08801127,0.7756176190476191,0.016587053571428576
0.0,6.9330121764517525,2.0767899529367453,0.685508400580037,0.30818333543558357,1.0,49.6199904335101,58.98391914736978,0.0,0.0,0.0,2.0,1.0,1.0,1976.28,407.9,2528.11,229.78,86.86300185929431,12.01411345,0.6081519047619047,0.0
1.0,7.296015355454046,2.0772809118669286,0.5125791183363677,0.39656336434042383,135.0,74.88364172804926,40.34743264142569,2.0,0.0,1.0,2.0,1.0,2.0,615.86,192.81,1371.8,217.54,99.19356884582476,12.28255262,0.7020454761904762,0.2033939166666667
0.0,5.0040565261739305,2.143589594253396,0.7605623416138816,0.3001065358140901,1.0,82.03084214973657,41.14010756802638,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.46,2292.61,482.03,98.54301893282829,11.24995631,0.7161083333333335,0.20037625000000003
4.0,5.027062930469728,3.910244017255351,0.6908787997445445,0.3703384230120793,1.0,92.62246644526931,35.953094795884454,2.0,0.0,0.0,0.0,1.0,1.0,1491.47,163.31,2936.78,196.3,84.38733956183682,11.46146728,0.5754200000000003,0.02257850000000001
0.0,5.001890510678099,2.02803445267477,0.7849551026191613,0.1340348074240448,468.0,57.5311666398751,32.47054064000872,1.0,0.0,2.0,1.0,1.0,0.0,3077.84,434.87,3537.83,710.51,71.29041438025199,12.17365942,0.7490180952380954,0.3763718404761905
0.0,6.844764069717752,2.049665400414788,0.7779636950806902,0.32020183886122044,176.0,61.51567823106506,68.18366580257323,0.0,0.0,1.0,2.0,1.0,1.0,1889.35,340.61,631.28,692.81,75.53352401444442,11.43420428,0.554702380952381,0.009979374999999999
0.0,5.0188813457664,2.0120000490470056,0.7477915937990812,0.2697548869463235,339.0,46.88491543299935,36.53242460686974,0.0,1.0,0.0,0.0,0.0,0.0,331.56,160.89,2208.45,330.22,94.34406772783358,11.4036895,0.6669921428571429,0.0035141666666666676
0.0,6.950486213505896,2.004961459310471,0.7763401549081521,0.33074330765210563,357.0,57.486570940213085,93.53244690228742,0.0,0.0,2.0,0.0,1.0,2.0,1404.45,167.09,1329.62,782.03,97.01357424442098,11.263237,0.6836852380952382,0.230351125
0.0,5.001890510678099,2.02803445267477,0.7849551026191613,0.1340348074240448,468.0,57.5311666398751,32.47054064000872,1.0,0.0,2.0,1.0,1.0,0.0,3077.84,434.87,3537.83,710.51,71.29041438025199,12.17365942,0.7490180952380954,0.3763718404761905
0.0,5.022907283331836,2.001749067199395,0.7702046362648097,0.37612800817694714,121.0,78.72184804303564,35.977305597124754,1.0,1.0,2.0,1.0,0.0,0.0,245.91,122.83,4004.57,246.63,88.30458999444477,11.67338544,0.7245547619047619,0.21351037500000003
5.0,5.147364872362655,3.462955612028186,0.7702703602900439,0.3389262594796471,231.0,73.35857183149463,54.09300115382717,2.0,0.0,1.0,1.0,1.0,2.0,2713.85,193.87,2911.47,195.6,63.288415007506174,11.87323844,0.9613499999999999,0.004354
0.0,6.7828908934718015,2.017931694258915,0.7846716834786188,0.3278679817133435,404.0,42.23626944955536,81.32080788779115,0.0,1.0,2.0,0.0,0.0,1.0,179.28,621.78,2626.14,228.42,63.688820203881335,11.09931324,0.5694102380952382,0.0124335
0.0,5.054887679585659,2.0941475165567325,0.6938341793086913,0.17262606502305516,274.0,30.389601717885327,32.91387456608355,2.0,1.0,0.0,2.0,1.0,0.0,1531.03,480.75,297.23,200.72,84.73266128792635,11.55411329,0.7619504761904763,0.022207254365079362
