PRGS,ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_AGE,HUM_1_STA,HUM_2_FW,HUM_2_AGE,HUM_2_STA,HUM_1_POS_X,HUM_1_POS_Y,HUM_2_POS_X,HUM_2_POS_Y,ROB_1_VEL,ROB_1_CHG,SCS,FTG
0,7.251726945743065,4.00016998535341,0.5099707616366149,0.3415070675963745,369,38.71087765728065,42.965529498867554,2.0,0.0,0.0,1.0,1.0,0.0,852.89,736.36,4377.75,457.08,82.00407322591575,11.83699728,0.7132897791666665,0.010753740476190479
0,5.036374569327574,3.9861197704806606,0.5184350053667822,0.3688383245370118,466,54.22548758561538,41.579408873147074,2.0,0.0,0.0,1.0,0.0,0.0,1803.78,378.72,2999.74,645.48,76.7841597839598,12.20066804,0.8655102530555553,0.012079433333333334
0,6.236899575051066,3.4062386506034033,0.7539711669184462,0.16012599088628365,636,38.95042558590512,35.953980227595835,2.0,1.0,0.0,0.0,1.0,1.0,107.37,392.88,2588.26,228.29,78.22362854575807,11.60908687,0.5638008552777778,0.00660604166666667
2,5.027009798136427,3.8634760312727043,0.7597952567025802,0.39934631500191575,193,77.253190431982,35.10007666266727,1.0,0.0,2.0,2.0,1.0,0.0,294.08,150.42,2864.51,194.29,54.452960443108886,11.44156336,0.6575564566666665,0.027225500000000024
3,5.240544393435273,2.917907192146817,0.7772818654150841,0.33811476023370696,89,99.67477520207886,30.688685540430125,0.0,1.0,1.0,1.0,0.0,2.0,453.58,189.26,2790.44,200.64,46.34075740087517,11.49639291,0.4260792199666667,0.04615633333333334
1,7.2358097880925145,2.1490559273465784,0.5620343224124006,0.353591051364178,310,36.948231141495164,74.71717999118984,2.0,0.0,0.0,1.0,0.0,0.0,363.25,161.1,3018.72,499.71,70.16384903579655,12.15363419,0.7123600595754861,0.11791483333333347
0,5.134403701755354,4.0328951918939735,0.7945034369995843,0.3417433325647055,1,59.071249356885886,36.402571048392865,1.0,0.0,2.0,2.0,1.0,2.0,314.92,157.46,2292.61,482.03,39.98445613930841,11.24994104,0.2929334883333332,0.19294375000000002
0,7.364813759162831,4.06813056559152,0.5063891124019452,0.1392644452132966,499,31.562506262864645,30.24781216771965,1.0,0.0,0.0,0.0,0.0,2.0,2395.67,515.35,2973.66,264.56,83.00056554461995,11.67045035,0.17764397837222218,0.006878966666666665
0,6.039871155667914,3.9873341136762437,0.5098920395242891,0.3627058454751124,332,53.13370585172361,30.10573429630732,0.0,0.0,0.0,2.0,0.0,2.0,2299.52,471.19,1596.1,315.44,82.55501220995058,12.22577255,0.6823916511904761,0.024191708333333343
0,6.444433648108834,4.125760872843164,0.7615784678259764,0.30808738325045,377,99.67638451414723,43.42432979790191,2.0,1.0,1.0,2.0,0.0,1.0,4161.81,215.39,2432.66,613.06,80.1843654566137,12.37726363,0.5545850280555554,0.21766664523809534
0,5.1973317037129085,4.031096910831185,0.5527466628311639,0.3600047137281248,1,93.18677403604563,88.52280700954962,0.0,0.0,1.0,1.0,0.0,0.0,327.0,161.77,4200.11,792.34,99.51785395521574,11.6018948,0.3672548416666669,0.04006280000000001
0,7.151552236531697,2.5338401104820534,0.5020121442264357,0.35072416410289387,294,32.886089490183906,82.92389270022491,2.0,0.0,0.0,2.0,1.0,2.0,3313.08,212.76,3635.85,690.65,97.33318658783148,12.37029545,0.5225986514666668,0.014034108333333333
3,5.004659009497087,2.3385841186514846,0.7873954853989542,0.3981347141550708,401,60.75198741037039,36.02908667899303,1.0,0.0,2.0,2.0,1.0,1.0,393.08,160.03,2878.52,194.36,39.99723263827051,12.11337733,0.5223875658333335,0.23032666666666668
0,6.996235557580576,3.426755066997517,0.5515798995951006,0.3806634166978269,219,41.05197773639758,44.13752751372503,2.0,0.0,0.0,0.0,1.0,1.0,2877.59,168.07,70.28,534.16,66.27247869577818,11.52576348,0.3886383500000001,0.0008235
3,5.713666664537759,4.026468599627199,0.7432046084398662,0.22784828982421534,323,48.32097270696292,42.62915547276026,0.0,0.0,1.0,2.0,0.0,2.0,618.66,195.11,2895.71,200.36,65.03546127743994,12.0736205,0.6815988193649354,0.05376599999999996
1,5.002609078128389,3.849899939711537,0.5036985434487035,0.3987791420512459,135,57.15024508449203,52.8139538138285,2.0,0.0,1.0,2.0,1.0,2.0,519.91,196.0,1371.8,217.54,49.69214507999201,12.28256613,0.5055322633333336,0.20705225000000005
0,5.911466227866008,2.1178375691439717,0.6612453934209185,0.3746119076217651,1,33.175463312490855,64.03175817274551,2.0,0.0,0.0,0.0,0.0,0.0,2016.6,417.93,1559.79,221.11,98.85498970338664,12.1628886,0.3731587844444446,0.001226
5,5.863818090390494,2.9234476097843043,0.6632521705422783,0.22575835432098845,1,53.40805437602703,73.69973625842663,2.0,1.0,0.0,2.0,0.0,0.0,2763.0,194.76,2857.59,200.51,91.46822054736617,11.50953078,1.0,0.0
0,7.427328345193779,3.970054083733709,0.7611586470511025,0.21943706727077592,693,77.69714097684353,32.29358846903233,2.0,0.0,1.0,1.0,1.0,2.0,2435.56,591.61,1462.01,536.68,81.68938857922488,12.00947781,0.6537530023809524,0.04887989166666669
0,6.615089212382662,2.9791534405326803,0.6003052883150156,0.37138485574468055,210,69.76303162151295,58.02194706849482,2.0,1.0,1.0,0.0,0.0,1.0,2775.41,236.2,2190.72,647.18,67.30847271211395,11.10644821,0.28785556166666676,0.00749025
4,6.575554864078371,3.9928629131816145,0.5124682088765384,0.3754322449782238,156,91.03323097489682,37.412361723936925,0.0,1.0,2.0,2.0,0.0,0.0,2197.92,183.41,2849.52,197.29,36.52882814243162,12.18504202,0.9580305333333329,0.3826385833333334
0,7.261230722746129,4.066304800058112,0.5301995701237568,0.37259798107760483,323,45.30870617053445,30.88345934041041,0.0,0.0,0.0,1.0,1.0,1.0,2233.51,464.92,2434.94,304.36,83.66398370732907,12.29929284,0.6482606498015873,0.020814223809523805
3,6.090593801438878,3.420362077345531,0.5945899249135504,0.3670708824239167,345,47.81389269265924,42.16617226376208,1.0,1.0,0.0,2.0,0.0,1.0,467.72,168.68,2891.13,195.11,68.56637533825278,11.63692741,0.8922280099999998,0.007352000000000001
0,5.024108142641643,3.763850589684589,0.6790291733662023,0.36928846995480863,165,35.57889458136429,49.64387118182224,0.0,0.0,0.0,1.0,1.0,1.0,367.53,177.39,2229.06,294.91,63.80122394864584,12.21932573,0.42904864333333353,0.007116333333333335
1,6.786214480361334,2.2277122637362536,0.5693491643131616,0.3664238361465725,270,41.23811363037784,73.76962397736773,2.0,0.0,1.0,2.0,1.0,2.0,615.86,192.81,1142.11,759.64,74.20161254814086,12.32227142,0.5809360133333334,0.3781065000000001
